nombre,cif,fecha_inicio,ultimo_anyo,ventas_euros,n_empleados,provincia,ciudad,calle,lon,lat,codigo_descripcion,codigo,descripcion,pagina_web,telefono,descripcion_adecuada,x1,x2,grupo,etiqueta
BANKINTER GLOBAL SERVICES SA.,A85982411,2010-06-16,2024-12-31,216862000,727,Alicante,ALICANTE/ALACANT,"CL DIAZ MOREU, 2",-0.48461314,38.34783567,Actividades de consultoría de gestión empresarial,7022.0,Prestación de servicios tecnológicos al grupo Bankinter,www.bankinter.com,+34 91/3397460,prestación servicio tecnológico grupo bankinter,13.672964,0.38580558,0,0_servicio_actividad_objeto_desarrollo
IBM GLOBAL SERVICES ESPAÑA SA,A80599459,1993-04-26,2023-12-31,212856000,754,Alicante,CALP,"AV DIPUTACION, S/N",0.04442,38.64649,"Programación, consultoría y otras actividades relacionadas con la informática",6202.0,Prestación de servicios informáticos,www.ibm.com,+34 90/1300000,prestación servicio informático,12.857082,0.440402,0,0_servicio_actividad_objeto_desarrollo
EDICOM CAPITAL SOCIEDAD LIMITADA.,B96490867,1995-12-07,2024-12-31,211315286,648,Valencia,PATERNA,"CALLE CHARLES ROBERT DARWIN, 8 - -10",-0.46078,39.55063,Otros servicios de información,6399.0,Servicios de tecnología de la información.,www.edicomgroup.com,+34 90/2119228,servicio tecnología información,13.153239,1.6638373,0,0_servicio_actividad_objeto_desarrollo
CANON ESPAÑA SA,A28122125,1963-04-27,2024-12-31,206106000,815,Valencia,VALENCIA,"CL GRAN VIA DEL MARQUES DEL TURIA, 49",-0.36885,39.46725,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4652.0,Mayorista de maquinaria y material de oficina,www.canon.es,+34 91/5384500,mayorista maquinaria material oficina,11.9265175,7.940819,0,0_servicio_actividad_objeto_desarrollo
TELECOR SA,A80028731,1991-05-08,2024-02-29,181233287,61,Valencia,VALENCIA,"CL PINTOR SOROLLA, 26",-0.37137,39.47127,Otras actividades de telecomunicaciones,6190.0,Prestación de servicios de telecomunicaciones y comercializadora eléctrica.,www.telecor.es,+34 91/5970193,prestación servicio telecomunicación comercializadora eléctrico,8.511797,6.373339,0,0_servicio_actividad_objeto_desarrollo
APPLUS NORCONTROL SLU,B15044357,1981-10-19,2023-12-31,177030000,3058,Valencia,PATERNA,"RD AUGUSTE Y LOUIS LUMIERE, 23, NAVE 4, CENTRO EMPR. LUMIERE, PQ TECNOLOGICO DE PATERNA",-0.47053,39.55081,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,"Soluciones integrales de asistencia técnica, supervisión, inspección, ensayos y consultoría",www.applus.com,+34 93/5672000,soluciones integral asistencia técnico supervisión inspección ensayo consultoría,12.84095,1.0941617,0,0_servicio_actividad_objeto_desarrollo
"SAGE SPAIN, S.L.",B58836321,1989-05-24,2024-09-30,171227000,1050,Valencia,VALENCIA,"CL ALFAUIR, 45",-0.36064,39.49285,"Programación, consultoría y otras actividades relacionadas con la informática",6201.0,"IMPORTACION, EXPORTACION, COMPRA, VENTA, DESARROLLO, INVESTIGACION, DISENO, COMERCIALIZACION, DISTRIBUCION Y REPRESENTACION DE TODO TIPO DE PROGRAMASDE ORDENADORES, ASI COMO ORDENADORES PROPIAMENTE DICHOS. ADQUIRIR, POSE",www.sage.es,+34 91/3349292,importacion exportacion compra venta desarrollo investigacion diseno comercializacion distribucion representacion tipo programasde ordenadores ordenadores propiamente dichos adquirir pose,11.577687,5.371061,0,0_servicio_actividad_objeto_desarrollo
GFT IT CONSULTING SLU,B63043251,2002-12-09,2023-12-31,165065152,2148,Valencia,VALENCIA,"AV DE L'OEST, 48",-0.3798,39.46973,"Programación, consultoría y otras actividades relacionadas con la informática",6202.0,Servicios de consultoría informática y de desarrollo de software.,www.gft.com,+34 93/5639000,servicio consultoría informático desarrollo software,13.653476,0.38893774,0,0_servicio_actividad_objeto_desarrollo
ATOS IT SOLUTIONS AND SERVICES IBERIA SL.,B85908093,2010-03-11,2024-12-31,159556000,1582,Valencia,VALENCIA,"CL CALAMOCHA, 4",-0.38873,39.46258,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,"Computación en la nube, ciberseguridad y supercomputación, proporcionando soluciones integradas a todos los sectores,",www.es.atos.net,+34 91/2148800,computación nube ciberseguridad supercomputación proporcionar solución integrado sector,12.325498,4.4715853,0,0_servicio_actividad_objeto_desarrollo
WEWI MOBILE SL.,B54865845,2015-06-17,2023-12-31,159285000,289,Alicante,ELDA,"AVENIDA SAN LUIS DE CUBA, 7",-0.80912,38.45264,Otras actividades de telecomunicaciones,6190.0,"La prestación del servicio de telecomunicaciones, servicio de internet, wifi, telefonía móvil y fija, transmisión de datos, señal de televisión y en general la gestión del servicio de telecomunicaciones en el sentido más amplio, su instalación, reparación y servicios individualizados. La gestión de",www.finetwork.com,+34 96/6392727,prestación servicio telecomunicación servicio internet wifi telefonía móvil fijo transmisión dato señal televisión general gestión servicio telecomunicación sentido amplio instalación reparación servicio individualizado gestión,9.097148,6.3927565,0,0_servicio_actividad_objeto_desarrollo
SOLITIUM SL.,B50570571,1993-12-22,2024-12-31,156701533,649,Alicante,ELX/ELCHE,"CL JUAN DE LA CIERVA, 27",-0.61046,38.29371,Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones,4651.0,Comercio al por mayor de productos de informática e ofimática.,www.solitium.com,+34 90/2440220,comercio producto informática ofimático,10.906256,8.101813,0,0_servicio_actividad_objeto_desarrollo
SERVINFORM SAU,A41050980,1977-05-13,2024-12-31,150330853,4106,Valencia,ALBUIXECH,CL LA FILA,-0.30852,39.54093,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,"Prestación de soluciones avanzadas y servicios integrales en tecnologías de información, sistemas y comunicaciones, marketing, etc.",www.servinform.es,+34 90/2485800,prestación solución avanzado servicio integral tecnología información sistema comunicación marketing,13.19243,2.2372186,0,0_servicio_actividad_objeto_desarrollo
GESMARKET INTERNET PARA VENDER SL.,B12630620,2003-12-09,2023-12-31,149887823,51,Castellón,CASTELLO DE LA PLANA,"CALLE RONDA MIJARES, 190",-0.04302,39.9805,"Proceso de datos, hosting y actividades relacionadas; portales web",6312.0,Gestión de portales web.,www.doyouspain.com,,gestión portal,11.385835,-0.92488414,1,1_gestión_empresarial_consultoría_explotación
SGS TECNOS SA,A28345577,1974-03-01,2024-12-31,138768000,1983,Valencia,PATERNA,"CL NARCIS MONTURIOL I ESTARRIOL, 5",-0.46515,39.54911,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,Emision de certificados de calidad.,www.sgs.com,+34 91/3138000,emision certificado calidad,14.290955,1.7382795,0,0_servicio_actividad_objeto_desarrollo
ACUNTIA S.A.U.,A80644081,1993-06-02,2024-12-31,133920000,596,Valencia,VALENCIA,"AV DE LES CORTS VALENCIANES, 58",-0.40151959,39.49530437,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,Soluciones y servicios de Tecnologias de la información y comunicación (TIC).,www.axians.com,+34 91/4560008,soluciones servicio tecnologias información comunicación,13.118639,1.8300418,0,0_servicio_actividad_objeto_desarrollo
GRUPO TEC SERVICIOS AVANZADOS SA,A96827829,1998-12-14,2023-12-31,129379758,245,Valencia,VALENCIA,"AVENIDA DE LES CORTS VALENCIANES, 47 - ED IKON",-0.40274857,39.49408202,Actividades de consultoría de gestión empresarial,7022.0,Prestación de servicios de consultoría a todo tipo de empresas.	Plantas solares,www.grupotec.es,+34 96/3391890,prestación servicio consultoría tipo empresa planta solar,9.929337,4.087047,0,0_servicio_actividad_objeto_desarrollo
AYESA INGENIERIA Y ARQUITECTURA S.A.,A41015322,1966-02-17,2023-12-31,126393695,746,Valencia,VALENCIA,"PJ DEL DOCTOR BARTUAL MORET, G, 6",-0.35642,39.47746,Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico,7112.0,Servicios de Ingeniería civil.,www.ayesa.com,+34 95/4467046,servicio ingeniería civil,7.8672004,3.0368993,0,0_servicio_actividad_objeto_desarrollo
"DELOITTE STRATEGY, RISK & TRANSACTIONS SL.",B83504043,2002-12-20,2024-05-31,122705000,568,Alicante,ALACANT/ALICANTE,"PS EXPLANADA DE ESPAÑA, 11",-0.4835,38.34336,Actividades de consultoría de gestión empresarial,7022.0,Servicios de asesoramiento a empresas.,www.deloitte.es,+34 91/5145270,servicio asesoramiento empresa,12.755384,0.1310194,0,0_servicio_actividad_objeto_desarrollo
OESIA NETWORKS SOCIEDAD LIMITADA,B95087482,2000-03-30,2024-12-31,121984000,2122,Alicante,ALICANTE/ALACANT,"CL AUSO Y MONZO, EDIF. HISPANIA, 16, 5ª PLANTA",-0.50636,38.3452,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,Consultora informática proveedor del Ministerio de Defensa.,www.oesia.com,+34 91/3098600,consultora informático proveedor ministerio defensa,11.432587,8.048192,0,0_servicio_actividad_objeto_desarrollo
BARCELO GESTION HOTELERA SL,B07918287,1998-11-26,2023-12-31,115960004,176,Alicante,BENIDORM,"AV ALCALDE EDUARDO ZAPLANA, ROTONDA DEL FUEGO (HOTEL BARCELO ASIA GARDENS)",-0.14705836,38.57072226,Actividades de consultoría de gestión empresarial,7022.0,Explotación y gestión de hoteles.,www.barcelo.com,+34 97/1928021,explotación gestión hotel,11.50239,-1.1571387,1,1_gestión_empresarial_consultoría_explotación
NUNSYS SA,A97929566,2007-07-27,2024-12-31,114267710,806,Valencia,PATERNA,"CALLE GUSTAVE EIFFEL (PQ. TECNOLOGICO), 3 - NUMERO 1",-0.45655,39.54696,"Programación, consultoría y otras actividades relacionadas con la informática",6209.0,Transformación digital integral.,www.nunsys.com,+34 96/0500631,transformación digital integral,12.384829,4.342389,0,0_servicio_actividad_objeto_desarrollo
